date+survey,adm1+name,adm1+pcode,adm2+pcode,adm2+name,affected+idps+ind,affected+idps+hh,adm1+origin+name,adm1+origin+pcode,adm2+origin+pcode,adm2+origin+name
2023-07-05 00:00:00,Central Darfur,SD06,SD06135,Um Dukhun,1000,200,Central Darfur,SD06,SD06135,Um Dukhun
2023-07-05 00:00:00,Central Darfur,SD06,SD06135,Um Dukhun,10000,2000,Central Darfur,SD06,SD06138,Zalingi
2023-07-05 00:00:00,Central Darfur,SD06,SD06135,Um Dukhun,1000,200,South Darfur,SD03,SD03167,Nyala Janoub
2023-07-05 00:00:00,Central Darfur,SD06,SD06135,Um Dukhun,500,100,Central Darfur,SD06,SD06138,Zalingi
2023-07-05 00:00:00,Central Darfur,SD06,SD06135,Um Dukhun,650,130,South Darfur,SD03,SD03167,Nyala Janoub
2023-07-05 00:00:00,Central Darfur,SD06,SD06135,Um Dukhun,500,100,South Darfur,SD03,SD03167,Nyala Janoub
2023-07-05 00:00:00,Central Darfur,SD06,SD06138,Zalingi,15000,3000,Central Darfur,SD06,SD06138,Zalingi
2023-07-05 00:00:00,Central Darfur,SD06,SD06138,Zalingi,15000,3000,Central Darfur,SD06,SD06138,Zalingi
2023-07-05 00:00:00,Central Darfur,SD06,SD06138,Zalingi,40000,8000,Central Darfur,SD06,SD06138,Zalingi
2023-07-05 00:00:00,Central Darfur,SD06,SD06138,Zalingi,25000,5000,Central Darfur,SD06,SD06138,Zalingi
2023-07-05 00:00:00,Central Darfur,SD06,SD06137,Wadi Salih,280,56,Central Darfur,SD06,SD06137,Wadi Salih
2023-07-05 00:00:00,Central Darfur,SD06,SD06138,Zalingi,2500,500,Central Darfur,SD06,SD06138,Zalingi
2023-07-05 00:00:00,Central Darfur,SD06,SD06131,Gharb Jabal Marrah,1750,350,Central Darfur,SD06,SD06138,Zalingi
2023-07-05 00:00:00,Central Darfur,SD06,SD06132,Shamal Jabal Marrah,16000,3200,North Darfur,SD02,SD02170,Tawila
2023-07-05 00:00:00,East Darfur,SD05,SD05142,Ad Du'ayn,3430,686,South Darfur,SD03,SD03167,Nyala Janoub
2023-07-05 00:00:00,East Darfur,SD05,SD05142,Ad Du'ayn,1870,374,Khartoum,SD01,SD01007,Khartoum
2023-07-05 00:00:00,East Darfur,SD05,SD05142,Ad Du'ayn,2220,444,South Darfur,SD03,SD03167,Nyala Janoub
2023-07-05 00:00:00,East Darfur,SD05,SD05142,Ad Du'ayn,785,157,Khartoum,SD01,SD01007,Khartoum
2023-07-05 00:00:00,North Darfur,SD02,SD02114,Al Fasher,7750,1550,North Darfur,SD02,SD02114,Al Fasher
2023-07-05 00:00:00,North Darfur,SD02,SD02114,Al Fasher,250,50,North Darfur,SD02,SD02114,Al Fasher
2023-07-05 00:00:00,North Darfur,SD02,SD02114,Al Fasher,3640,728,North Darfur,SD02,SD02170,Tawila
2023-07-05 00:00:00,North Darfur,SD02,SD02114,Al Fasher,1085,217,North Darfur,SD02,SD02114,Al Fasher
2023-07-05 00:00:00,North Darfur,SD02,SD02114,Al Fasher,445,103,North Darfur,SD02,SD02128,Kutum
2023-07-05 00:00:00,North Darfur,SD02,SD02114,Al Fasher,500,100,North Darfur,SD02,SD02128,Kutum
2023-07-05 00:00:00,North Darfur,SD02,SD02114,Al Fasher,605,121,North Darfur,SD02,SD02128,Kutum
2023-07-05 00:00:00,North Darfur,SD02,SD02114,Al Fasher,200,40,North Darfur,SD02,SD02128,Kutum
2023-07-05 00:00:00,North Darfur,SD02,SD02113,Dar As Salam,1615,323,North Darfur,SD02,SD02114,Al Fasher
2023-07-05 00:00:00,North Darfur,SD02,SD02113,Dar As Salam,695,139,North Darfur,SD02,SD02170,Tawila
2023-07-05 00:00:00,North Darfur,SD02,SD02113,Dar As Salam,825,165,North Darfur,SD02,SD02114,Al Fasher
2023-07-05 00:00:00,North Darfur,SD02,SD02113,Dar As Salam,1650,330,North Darfur,SD02,SD02114,Al Fasher
2023-07-05 00:00:00,North Darfur,SD02,SD02116,Al Koma,850,170,North Darfur,SD02,SD02114,Al Fasher
2023-07-05 00:00:00,North Darfur,SD02,SD02116,Al Koma,700,140,North Darfur,SD02,SD02114,Al Fasher
2023-07-05 00:00:00,North Darfur,SD02,SD02129,Melit,650,130,North Darfur,SD02,SD02128,Kutum
2023-07-05 00:00:00,North Darfur,SD02,SD02129,Melit,5525,1105,North Darfur,SD02,SD02114,Al Fasher
2023-07-05 00:00:00,North Darfur,SD02,SD02129,Melit,145,29,North Darfur,SD02,SD02114,Al Fasher
2023-07-05 00:00:00,North Darfur,SD02,SD02124,Kebkabiya,1250,250,North Darfur,SD02,SD02124,Kebkabiya
2023-07-05 00:00:00,North Darfur,SD02,SD02124,Kebkabiya,1300,260,West Darfur,SD04,SD04115,Ag Geneina
2023-07-05 00:00:00,North Darfur,SD02,SD02128,Kutum,40,8,North Darfur,SD02,SD02114,Al Fasher
2023-07-05 00:00:00,North Darfur,SD02,SD02128,Kutum,25000,5000,North Darfur,SD02,SD02128,Kutum
2023-07-05 00:00:00,North Darfur,SD02,SD02128,Kutum,2500,500,North Darfur,SD02,SD02128,Kutum
2023-07-05 00:00:00,North Darfur,SD02,SD02128,Kutum,3500,700,North Darfur,SD02,SD02128,Kutum
2023-07-05 00:00:00,North Darfur,SD02,SD02128,Kutum,1500,300,North Darfur,SD02,SD02128,Kutum
2023-07-05 00:00:00,North Darfur,SD02,SD02128,Kutum,3500,700,North Darfur,SD02,SD02128,Kutum
2023-07-05 00:00:00,North Darfur,SD02,SD02128,Kutum,5000,1000,North Darfur,SD02,SD02128,Kutum
2023-07-05 00:00:00,North Darfur,SD02,SD02136,Um Kadadah,600,120,North Darfur,SD02,SD02114,Al Fasher
2023-07-05 00:00:00,North Darfur,SD02,SD02118,As Serief,1140,228,North Darfur,SD02,SD02114,Al Fasher
2023-07-05 00:00:00,North Darfur,SD02,SD02117,Al Malha,3790,758,North Darfur,SD02,SD02114,Al Fasher
2023-07-05 00:00:00,North Darfur,SD02,SD02133,Saraf Omra,4000,800,West Darfur,SD04,SD04115,Ag Geneina
2023-07-05 00:00:00,North Darfur,SD02,SD02133,Saraf Omra,450,90,West Darfur,SD04,SD04115,Ag Geneina
2023-07-05 00:00:00,North Darfur,SD02,SD02133,Saraf Omra,1000,200,West Darfur,SD04,SD04115,Ag Geneina
2023-07-05 00:00:00,North Darfur,SD02,SD02133,Saraf Omra,300,60,West Darfur,SD04,SD04115,Ag Geneina
2023-07-05 00:00:00,North Darfur,SD02,SD02133,Saraf Omra,750,150,West Darfur,SD04,SD04115,Ag Geneina
2023-07-05 00:00:00,North Darfur,SD02,SD02133,Saraf Omra,300,60,West Darfur,SD04,SD04115,Ag Geneina
2023-07-05 00:00:00,North Darfur,SD02,SD02126,Kelemando,900,180,North Darfur,SD02,SD02114,Al Fasher
2023-07-05 00:00:00,North Darfur,SD02,SD02126,Kelemando,1240,248,North Darfur,SD02,SD02114,Al Fasher
2023-07-05 00:00:00,North Darfur,SD02,SD02126,Kelemando,135,27,North Darfur,SD02,SD02114,Al Fasher
2023-07-05 00:00:00,North Darfur,SD02,SD02126,Kelemando,75,15,Khartoum,SD01,SD01006,Um Durman
2023-07-05 00:00:00,North Darfur,SD02,SD02126,Kelemando,60,12,North Darfur,SD02,SD02114,Al Fasher
2023-07-05 00:00:00,North Darfur,SD02,SD02126,Kelemando,45,9,North Darfur,SD02,SD02114,Al Fasher
2023-07-05 00:00:00,North Darfur,SD02,SD02126,Kelemando,150,30,North Darfur,SD02,SD02114,Al Fasher
2023-07-05 00:00:00,North Darfur,SD02,SD02126,Kelemando,900,180,North Darfur,SD02,SD02114,Al Fasher
2023-07-05 00:00:00,North Darfur,SD02,SD02126,Kelemando,225,45,North Darfur,SD02,SD02114,Al Fasher
2023-07-05 00:00:00,North Darfur,SD02,SD02126,Kelemando,525,105,North Darfur,SD02,SD02114,Al Fasher
2023-07-05 00:00:00,North Darfur,SD02,SD02126,Kelemando,90,18,North Darfur,SD02,SD02114,Al Fasher
2023-07-05 00:00:00,North Darfur,SD02,SD02119,At Tawisha,350,70,North Darfur,SD02,SD02114,Al Fasher
2023-07-05 00:00:00,North Darfur,SD02,SD02169,Al lait,788,160,North Darfur,SD02,SD02114,Al Fasher
2023-07-05 00:00:00,North Darfur,SD02,SD02169,Al lait,1675,335,Khartoum,SD01,SD01007,Khartoum
2023-07-05 00:00:00,North Darfur,SD02,SD02169,Al lait,95,19,South Darfur,SD03,SD03167,Nyala Janoub
2023-07-05 00:00:00,North Darfur,SD02,SD02114,Al Fasher,8935,1787,North Darfur,SD02,SD02170,Tawila
2023-07-05 00:00:00,North Darfur,SD02,SD02170,Tawila,10000,2000,North Darfur,SD02,SD02170,Tawila
2023-07-05 00:00:00,North Darfur,SD02,SD02170,Tawila,4500,900,North Darfur,SD02,SD02170,Tawila
2023-07-05 00:00:00,North Darfur,SD02,SD02170,Tawila,3000,600,North Darfur,SD02,SD02170,Tawila
2023-07-05 00:00:00,North Darfur,SD02,SD02170,Tawila,4000,800,North Darfur,SD02,SD02170,Tawila
2023-07-05 00:00:00,North Darfur,SD02,SD02170,Tawila,6000,1200,North Darfur,SD02,SD02170,Tawila
2023-07-05 00:00:00,North Darfur,SD02,SD02170,Tawila,2350,470,North Darfur,SD02,SD02170,Tawila
2023-07-05 00:00:00,North Darfur,SD02,SD02170,Tawila,21000,4200,North Darfur,SD02,SD02170,Tawila
2023-07-05 00:00:00,North Darfur,SD02,SD02170,Tawila,2500,500,North Darfur,SD02,SD02170,Tawila
2023-07-05 00:00:00,North Darfur,SD02,SD02114,Al Fasher,2000,400,North Darfur,SD02,SD02170,Tawila
2023-07-05 00:00:00,North Darfur,SD02,SD02114,Al Fasher,2576,534,North Darfur,SD02,SD02128,Kutum
2023-07-05 00:00:00,North Darfur,SD02,SD02114,Al Fasher,7075,1414,North Darfur,SD02,SD02170,Tawila
2023-07-05 00:00:00,North Darfur,SD02,SD02114,Al Fasher,4550,910,North Darfur,SD02,SD02170,Tawila
2023-07-05 00:00:00,South Darfur,SD03,SD03167,Nyala Janoub,34150,6830,South Darfur,SD03,SD03167,Nyala Janoub
2023-07-05 00:00:00,South Darfur,SD03,SD03167,Nyala Janoub,7665,1533,South Darfur,SD03,SD03167,Nyala Janoub
2023-07-05 00:00:00,South Darfur,SD03,SD03162,Beliel,12500,2500,South Darfur,SD03,SD03167,Nyala Janoub
2023-07-05 00:00:00,South Darfur,SD03,SD03162,Beliel,7500,1500,South Darfur,SD03,SD03167,Nyala Janoub
2023-07-05 00:00:00,South Darfur,SD03,SD03162,Beliel,35000,7000,South Darfur,SD03,SD03167,Nyala Janoub
2023-07-05 00:00:00,South Darfur,SD03,SD03145,Mershing,5000,1000,South Darfur,SD03,SD03145,Mershing
2023-07-05 00:00:00,South Darfur,SD03,SD03145,Mershing,3400,680,South Darfur,SD03,SD03145,Mershing
2023-07-05 00:00:00,South Darfur,SD03,SD03145,Mershing,3400,680,South Darfur,SD03,SD03145,Mershing
2023-07-05 00:00:00,South Darfur,SD03,SD03145,Mershing,2600,520,South Darfur,SD03,SD03145,Mershing
2023-07-05 00:00:00,South Darfur,SD03,SD03145,Mershing,2500,500,South Darfur,SD03,SD03145,Mershing
2023-07-05 00:00:00,South Darfur,SD03,SD03151,Nitega,1700,340,South Darfur,SD03,SD03145,Mershing
2023-07-05 00:00:00,South Darfur,SD03,SD03147,Sharg Aj Jabal,320,64,South Darfur,SD03,SD03145,Mershing
2023-07-05 00:00:00,South Darfur,SD03,SD03144,Kas,5000,1000,South Darfur,SD03,SD03167,Nyala Janoub
2023-07-05 00:00:00,South Darfur,SD03,SD03162,Beliel,7000,1400,South Darfur,SD03,SD03167,Nyala Janoub
2023-07-05 00:00:00,South Darfur,SD03,SD03161,Buram,4000,800,South Darfur,SD03,SD03167,Nyala Janoub
2023-07-05 00:00:00,South Darfur,SD03,SD03156,As Sunta,3000,600,South Darfur,SD03,SD03167,Nyala Janoub
2023-07-05 00:00:00,South Darfur,SD03,SD03158,Rehaid Albirdi,3000,600,South Darfur,SD03,SD03167,Nyala Janoub
2023-07-05 00:00:00,South Darfur,SD03,SD03150,Al Wihda,7000,1400,South Darfur,SD03,SD03167,Nyala Janoub
2023-07-05 00:00:00,South Darfur,SD03,SD03166,As Salam - SD,3000,600,South Darfur,SD03,SD03167,Nyala Janoub
2023-07-05 00:00:00,South Darfur,SD03,SD03166,As Salam - SD,2500,500,South Darfur,SD03,SD03167,Nyala Janoub
2023-07-05 00:00:00,South Darfur,SD03,SD03162,Beliel,1000,200,South Darfur,SD03,SD03167,Nyala Janoub
2023-07-05 00:00:00,South Darfur,SD03,SD03162,Beliel,1250,250,South Darfur,SD03,SD03167,Nyala Janoub
2023-07-05 00:00:00,North Darfur,SD02,SD02114,Al Fasher,350,70,North Darfur,SD02,SD02170,Tawila
2023-07-05 00:00:00,North Darfur,SD02,SD02114,Al Fasher,1150,230,North Darfur,SD02,SD02170,Tawila
